,상호명,상권업종중분류명,표준산업분류명,도로명주소,시군구명,경도,위도,Dbscan_50m,Dbscan_100m
15,투썸플레이스,커피점/카페,비알콜 음료점업,부산광역시 남구 수영로 286,남구,129.097700656702,35.1359634354821,0,0
69,더리터,커피점/카페,비알콜 음료점업,부산광역시 수영구 수영로 396-1,수영구,129.107895985117,35.1417477198455,0,0
97,비움카페,커피점/카페,비알콜 음료점업,부산광역시 기장군 기장읍 용궁길 68,기장군,129.221667734935,35.189328294163,-1,-1
104,로카페,커피점/카페,비알콜 음료점업,부산광역시 기장군 정관읍 정관로 350,기장군,129.164382287206,35.3358238268713,-1,-1
229,콩카페,커피점/카페,비알콜 음료점업,부산광역시 북구 시랑로 137,북구,129.010422973867,35.1954845580884,-1,-1
244,빽다방,커피점/카페,비알콜 음료점업,부산광역시 중구 남포길 25-6,중구,129.031692023169,35.0988828433885,1,1
334,카페황금나무,커피점/카페,비알콜 음료점업,부산광역시 사상구 사상로342번길 8,사상구,128.985061376452,35.1749253673146,-1,-1
405,꼬마대통령,커피점/카페,비알콜 음료점업,부산광역시 사상구 학감대로 117,사상구,128.987618131716,35.1412282799382,-1,-1
407,도타이,커피점/카페,비알콜 음료점업,부산광역시 영도구 와치로 266,영도구,129.069499558016,35.0754432981328,-1,-1
437,카페휴,커피점/카페,비알콜 음료점업,부산광역시 금정구 중앙대로 1777,금정구,129.092481410742,35.242067485786,2,-1
452,카페,커피점/카페,비알콜 음료점업,부산광역시 동구 범일로90번길 17,동구,129.061564350966,35.1382954826631,10,-1
478,수연다방,커피점/카페,비알콜 음료점업,부산광역시 북구 모분재로 27,북구,129.006137432899,35.205038930976,3,-1
682,단디코카,커피점/카페,비알콜 음료점업,부산광역시 사하구 낙동대로536번길 14,사하구,128.965798556805,35.1120904354346,11,-1
786,이디야커피,커피점/카페,비알콜 음료점업,부산광역시 사하구 다대로 682,사하구,128.966690081527,35.0482002400717,-1,-1
1003,토스피아,커피점/카페,비알콜 음료점업,부산광역시 서구 구덕로148번길 37,서구,129.022810538933,35.0982099277951,1,1
1020,오랜지바다,커피점/카페,비알콜 음료점업,부산광역시 수영구 광안해변로 245-1,수영구,129.12076250238,35.1549519048445,0,-1
1035,충원커피숍,커피점/카페,비알콜 음료점업,부산광역시 동래구 반송로 225,동래구,129.098014194306,35.2009415690308,7,-1
1042,이삭토스트,커피점/카페,비알콜 음료점업,부산광역시 금정구 부산대학로 63,금정구,129.084417869164,35.231413603351,2,2
1073,수명,커피점/카페,비알콜 음료점업,부산광역시 연제구 좌수영로 308-1,연제구,129.108052854779,35.1881135952574,7,-1
1103,용커피숍,커피점/카페,비알콜 음료점업,부산광역시 북구 낙동대로1780번길 32,북구,129.004798445273,35.208673638982,3,-1
1156,엔케이이뮨베이커리카페,커피점/카페,비알콜 음료점업,부산광역시 강서구 명지국제6로 254,강서구,128.923373599054,35.0980615113631,13,-1
1157,길커피,커피점/카페,비알콜 음료점업,부산광역시 해운대구 해운대로61번길 80-42,해운대구,129.127180324459,35.1945171570693,-1,-1
1208,커피앤유,커피점/카페,비알콜 음료점업,부산광역시 기장군 기장읍 기장해안로 599,기장군,129.229945158048,35.2249206126937,-1,-1
1259,아슬란,커피점/카페,비알콜 음료점업,부산광역시 해운대구 양운로 110,해운대구,129.173929364242,35.1726833193054,4,-1
1310,엔제리너스,커피점/카페,비알콜 음료점업,부산광역시 동래구 온천천로 361,동래구,129.093043934966,35.1938926518931,7,-1
1358,모네의정원,커피점/카페,비알콜 음료점업,부산광역시 부산진구 새싹로 159,부산진구,129.049873561242,35.170423846955,-1,-1
