관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,위도,경도,데이터기준일자
부산광역시 부산진구청,신암로83번길 13,범천2동 1252-70,다목적,1,200,360도 전방면,30,,051-605-6321,35.14828695,129.0530758,2021-10-08
부산광역시 부산진구청,동평로127번길 52,부암3동 365-1,다목적,1,200,360도 전방면,30,,051-605-6321,35.16861765,129.0428187,2021-10-08
부산광역시 부산진구청,동평로131번길 48,부암1동 320-73,다목적,1,200,360도 전방면,30,,051-605-6321,35.16778731,129.045243,2021-10-08
부산광역시 부산진구청,개금본동로66번길 11,개금3동 412-13,다목적,1,200,360도 전방면,30,,051-605-6321,35.15769249,129.0202218,2021-10-08
부산광역시 부산진구청,가야대로703번길 16,당감2동 93-1,다목적,1,200,360도 전방면,30,,051-605-6321,35.15819218,129.0475617,2021-10-08
부산광역시 부산진구청,엄광로305번길 3,가야1동 15-33,다목적,1,200,360도 전방면,30,,051-605-6321,35.15519495,129.0429702,2021-10-08
부산광역시 부산진구청,가야대로668번길 18,가야1동 14-12,다목적,1,200,360도 전방면,30,,051-605-6321,35.15537076,129.0443001,2021-10-08
부산광역시 부산진구청,서전로67번길 39,전포2동 198-1,다목적,1,200,360도 전방면,30,,051-605-6321,35.15951162,129.0670745,2021-10-08
부산광역시 부산진구청,새싹로266번길 18,초읍동 276-2,다목적,1,200,360도 전방면,30,,051-605-6321,35.17977241,129.0484629,2021-10-08
부산광역시 부산진구청,성지로46번길22,연지동 290-2,다목적,1,200,360도 전방면,30,,051-605-6321,35.17463468,129.055547,2021-10-08
부산광역시 부산진구청,성지로122번길 21,초읍동 440,다목적,1,200,360도 전방면,30,,051-605-6321,35.18147001,129.0516667,2021-10-08
부산광역시 부산진구청,개금온정로17번길 77,개금동 276-12,다목적,1,200,360도 전방면,30,,051-605-6321,35.15596194,129.0236947,2021-10-08
부산광역시 부산진구청,개금온정로17번길 77,개금동 276-12,다목적,1,200,360도 전방면,30,,051-605-6321,35.15596194,129.0236947,2021-10-08
부산광역시 부산진구청,부전로152번길 44,부전1동 263-26,다목적,1,200,360도 전방면,30,,051-605-6321,35.16031382,129.0580703,2021-10-08
부산광역시 부산진구청,냉정로252번가길 23,가야2동 647-17,다목적,1,200,360도 전방면,30,,051-605-6321,35.14948089,129.0267029,2021-10-08
