광역자치단체,기초자치단체,상호,업태,도로명주소,위도,경도,총 매장면적(제곱미터),판매면적(제곱미터),용역제공면적(제곱미터),실제 영업개시일
부산광역시,중구,롯데마트 광복점,대형마트,부산광역시 중구 중앙대로 2(중앙동7가),35.09830894,129.0367048,12347,9246,3101,2014-08-28
부산광역시,영도구,홈플러스 영도점,대형마트,부산광역시 영도구 대교로14번길 57(봉래동2가),35.09590061,129.0442309,5340,4860,481,2005-02-22
부산광역시,부산진구,홈플러스 서면점,대형마트,부산광역시 부산진구 동천로 4(전포동),35.14943396,129.0639784,11036,11036,,1999-07-06
부산광역시,부산진구,홈플러스 가야점,대형마트,부산광역시 부산진구 가야대로 506(가야동),35.15246399,129.0273170,10063,9624,439,2002-08-21
부산광역시,부산진구,이마트 트레이더스서면점,대형마트,부산광역시 부산진구 시민공원로 31(부암동),35.16390210,129.0525537,11499,11499,,2005-04-27
부산광역시,부산진구,농협하나로클럽 부전점,대형마트,부산광역시 부산진구 중앙대로 783번길 14 (부전동),35.16275426,129.0621873,4374,4374,,2006-04-28
부산광역시,부산진구,롯데키즈마트 부산점,대형마트,부산광역시 부산진구 신천대로 241(부암동),35.16330824,129.0493190,15674,13255,2419,2011-04-28
부산광역시,동래구,메가마트 동래점,대형마트,부산광역시 동래구 충렬대로 197(명륜동),35.20454596,129.0811380,13191,12198,993,1995-08-09
부산광역시,동래구,홈플러스 동래점,대형마트,부산광역시 동래구 중앙대로 1523(온천동),35.22128992,129.0855783,13895,13895,,2006-10-13
부산광역시,동래구,롯데마트 동래점,대형마트,부산광역시 동래구 중앙대로 1393(온천동),35.21170859,129.0774768,11436,11183,253,2008-05-29
부산광역시,남구,이마트 문현점,대형마트,부산광역시 남구 전포대로91번길 47(문현동),35.14430272,129.0642407,12660,10612,2048,2005-07-24
부산광역시,남구,홈플러스 부산감만점,대형마트,부산광역시 남구 우암로 124(감만동),35.12159947,129.0822116,9881,8350,1531,2006-07-20
부산광역시,북구,롯데마트 화명점,대형마트,부산광역시 북구 화명대로47(화명동),35.23517016,129.0130124,8760,8760,,2001-03-29
부산광역시,북구,농협하나로클럽 부산점,대형마트,부산광역시 북구 금곡대로469(금곡동),35.25002197,129.0112195,9790,9790,,2004-05-21
부산광역시,해운대구,이마트 해운대점,대형마트,부산광역시 해운대구 좌동순환로 511 (중동),35.16602153,129.1673773,11193,11193,,2000-03-08
부산광역시,해운대구,홈플러스 해운대점,대형마트,부산광역시 해운대구 해운대해변로 140 (우동),35.15839725,129.1464910,18064,18064,,2000-07-26
부산광역시,해운대구,홈플러스 센텀시티점,대형마트,부산광역시 해운대구 센텀동로 6 (우동),35.17091188,129.1336915,17827,17827,,2002-04-12
부산광역시,해운대구,홈플러스 부산반여점,대형마트,부산광역시 해운대구 선수촌로21번길 37 (반여동),35.19658831,129.1156994,10227,6829,3448,2012-03-16
부산광역시,사하구,탑마트 신평점,대형마트,부산광역시 사하구 하신중앙로 210(신평동),35.09712033,128.9623063,3793,3639,154,2000-01-25
부산광역시,사하구,롯데마트 사하점,대형마트,부산광역시 사하구 을숙도대로 610(장림동),35.08478117,128.9723158,9547,7659,1888,2000-09-26
부산광역시,사하구,홈플러스 장림점,대형마트,부산광역시 사하구 다대로 225(장림동),35.08243474,128.9782534,7485,5697,1788,2006-12-27
부산광역시,금정구,이마트 금정점,대형마트,부산광역시 금정구 중앙대로1841번길24(구서동),35.24994464,129.0905977,14644,14644,,2003-06-18
부산광역시,연제구,이마트 연제점,대형마트,부산광역시 연제구 연수로 89(연산동),35.17615076,129.0813103,13800,12154,1646,2002-03-12
부산광역시,연제구,홈플러스 아시아드점,대형마트,부산광역시 연제구 종합운동장로 7(거제동),35.19126678,129.0620097,32040,19240,12800,2003-04-03
부산광역시,연제구,홈플러스 연산점,대형마트,부산광역시 연제구 반송로 88(연산동),35.19096064,129.0893357,20510,19779,731,2012-02-17
부산광역시,연제구,트레이더스 연산점,대형마트,부산광역시 연제구 좌수영로 241(연산동),35.18509414,129.1119518,17146,11890,5246,2021-02-08
부산광역시,수영구,메가마트 남천점,대형마트,부산광역시 수영구 황령대로 521(남천동),35.13725731,129.1109928,19000,12317,6683,2002-07-26
부산광역시,수영구,코스트코홀세일 부산점,대형마트,부산광역시 수영구 구락로 137(망미동),35.17850156,129.1152652,11001,11001,,2009-07-08
