,상권 NO.,상권명,연간매출(현대카드)/원,분석정보(2020년 기준)
0,9449.0,부산광역시 금정구 구서동역,"285,718,662,364",[상세보기]
1,9479.0,부산광역시 기장군 기장읍,"97,076,470,530",[상세보기]
2,9478.0,부산광역시 기장군 기장역,"104,111,370,029",[상세보기]
3,9441.0,부산광역시 북구 화명역_2,"155,225,010,490",[상세보기]
4,9440.0,부산광역시 북구 화명역_1,"194,040,441,135",[상세보기]
5,9450.0,부산광역시 금정구 부산대역,"236,616,052,187",[상세보기]
6,9457.0,부산광역시 동래구 온천장역,"238,228,807,558",[상세보기]
7,9451.0,부산광역시 금정구 서동역,"208,075,352,834",[상세보기]
8,9453.0,부산광역시 동래구 명륜역,"181,047,015,629",[상세보기]
9,9439.0,부산광역시 북구 덕천역_3,"71,750,916,951",[상세보기]
10,9438.0,부산광역시 북구 덕천역_2,"283,392,224,172",[상세보기]
11,9437.0,부산광역시 북구 덕천역_1,"135,273,105,509",[상세보기]
12,9452.0,부산광역시 동래구 동래역,"471,871,065,905",[상세보기]
13,9454.0,부산광역시 동래구 미남역,"68,468,535,847",[상세보기]
14,0.0,부산광역시 동래구 수안역,"240,817,065,878",[상세보기]
15,9458.0,부산광역시 동래구 충렬사역,"45,456,507,392",[상세보기]
16,9455.0,부산광역시 동래구 사직2동,"159,245,667,936",[상세보기]
17,9469.0,부산광역시 연제구 거제1동_1,"80,191,965,956",[상세보기]
18,9477.0,부산광역시 연제구 연산동역_6,"192,294,396,529",[상세보기]
19,9476.0,부산광역시 연제구 연산동역_5,"206,621,746,686",[상세보기]
20,9470.0,부산광역시 연제구 연산9동_1,"81,133,843,992",[상세보기]
21,9475.0,부산광역시 연제구 연산동역_4,"239,671,207,626",[상세보기]
22,9474.0,부산광역시 연제구 연산동역_3,"331,245,476,998",[상세보기]
23,9473.0,부산광역시 연제구 연산동역_2,"101,770,171,269",[상세보기]
24,9472.0,부산광역시 연제구 연산동역_1,"207,160,474,987",[상세보기]
25,9471.0,부산광역시 연제구 연산9동_5,"60,593,435,518",[상세보기]
26,9493.0,부산광역시 해운대구 센텀시티역_2,"960,050,533,618",[상세보기]
27,9467.0,부산광역시 부산진구 양정역_2,"111,127,117,752",[상세보기]
28,9497.0,부산광역시 해운대구 장산역_2,"514,330,729,088",[상세보기]
29,9466.0,부산광역시 부산진구 양정역_1,"110,343,644,666",[상세보기]
30,9447.0,부산광역시 사상구 사상역_4,"287,868,055,337",[상세보기]
31,9496.0,부산광역시 해운대구 센텀시티역_1,"833,471,830,898",[상세보기]
32,9496.0,부산광역시 해운대구 장산역_1,"345,221,534,623",[상세보기]
33,9491.0,부산광역시 수영구 수영역_2,"116,553,916,303",[상세보기]
34,9490.0,부산광역시 수영구 수영역_1,"154,673,838,374",[상세보기]
35,9444.0,부산광역시 사상구 사상역_1,"185,660,685,874",[상세보기]
36,9499.0,부산광역시 해운대구 해운대역_2,"709,915,163,598",[상세보기]
37,9460.0,부산광역시 부산진구 부전역_2,"90,020,196,601",[상세보기]
38,9498.0,부산광역시 해운대구 해운대역_1,"278,909,672,482",[상세보기]
39,9465.0,부산광역시 부산진구 서면역_5,"368,043,990,578",[상세보기]
40,9459.0,부산광역시 부산진구 부전역_1,"96,131,409,128",[상세보기]
41,9445.0,부산광역시 사상구 사상역_2,"287,256,361,826",[상세보기]
42,9495.0,부산광역시 해운대구 우1동_2,"151,557,059,634",[상세보기]
43,9464.0,부산광역시 부산진구 서면역_4,"105,335,123,652",[상세보기]
44,9446.0,부산광역시 사상구 사상역_3,"62,564,770,672",[상세보기]
45,9463.0,부산광역시 부산진구 서면역_3,"221,879,483,897",[상세보기]
46,9494.0,부산광역시 해운대구 우1동_1,"228,451,539,458",[상세보기]
47,9468.0,부산광역시 부산진구 전포역,"64,913,631,215",[상세보기]
48,9462.0,부산광역시 부산진구 서면역_2,"435,878,001,481",[상세보기]
49,9461.0,부산광역시 부산진구 서면역_1,"951,940,602,849",[상세보기]
50,9488.0,부산광역시 수영구 민락동_1,"104,611,174,247",[상세보기]
51,9489.0,부산광역시 수영구 민락동_2,"41,957,164,810",[상세보기]
52,9486.0,부산광역시 수영구 광안리,"340,935,819,036",[상세보기]
53,9442.0,부산광역시 사상구 감전동_1,"32,245,694,576",[상세보기]
54,9443.0,부산광역시 사상구 감전동_2,"59,883,077,652",[상세보기]
55,9501.0,부산광역시 동구 범일동역_2,"152,231,583,668",[상세보기]
56,9502.0,부산광역시 동구 범일동역_3,"228,249,059,589",[상세보기]
57,9487.0,부산광역시 남구 남천1동,"258,800,813,160",[상세보기]
58,9503.0,부산광역시 동구 범일동역_4,"120,827,108,773",[상세보기]
59,9482.0,부산광역시 남구 경성대부경대역_3,"147,359,660,521",[상세보기]
60,9500.0,부산광역시 동구 범일동역_1,"503,608,928,264",[상세보기]
61,9481.0,부산광역시 남구 경성대부경대역_2,"204,803,941,056",[상세보기]
62,9480.0,부산광역시 남구 경성대부경대역_1,"161,058,236,879",[상세보기]
63,9483.0,부산광역시 남구 대연역,"158,424,907,391",[상세보기]
64,9505.0,부산광역시 동구 부산진역,"213,866,397,126",[상세보기]
65,9448.0,부산광역시 사상구 엄궁동,"115,831,407,688",[상세보기]
66,9504.0,부산광역시 중구 부산역,"267,824,527,036",[상세보기]
67,9484.0,부산광역시 남구 용호1동,"77,256,812,603",[상세보기]
68,9485.0,부산광역시 남구 용호3동,"74,611,671,612",[상세보기]
69,9512.0,부산광역시 사하구 동아대학교승학캠퍼스,"35,795,786,106",[상세보기]
70,9516.0,부산광역시 사하구 하단역_2,"201,008,093,342",[상세보기]
71,9526.0,부산광역시 중구 중앙역_2,"145,466,231,250",[상세보기]
72,9525.0,부산광역시 중구 중앙역_1,"82,446,873,660",[상세보기]
73,9511.0,부산광역시 사하구 당리역_2,"249,530,420,727",[상세보기]
74,9515.0,부산광역시 사하구 하단역_1,"133,092,131,415",[상세보기]
75,9510.0,부산광역시 사하구 당리역_1,"45,624,148,211",[상세보기]
76,9524.0,부산광역시 중구 자갈치역_2,"468,685,534,596",[상세보기]
77,9522.0,부산광역시 중구 남포역_2,"537,442,727,460",[상세보기]
78,9508.0,부산광역시 사하구 괴정역_3,"111,555,856,672",[상세보기]
79,9513.0,부산광역시 사하구 사하역,"14,884,741,785",[상세보기]
80,9507.0,부산광역시 사하구 괴정역_2,"125,722,495,087",[상세보기]
81,9521.0,부산광역시 중구 남포역_1,"237,628,872,937",[상세보기]
82,9506.0,부산광역시 사하구 괴정역_1,"116,196,728,166",[상세보기]
83,9523.0,부산광역시 중구 자갈치역_1,"268,075,923,701",[상세보기]
84,9519.0,부산광역시 영도구 남항동_3,"32,283,216,246",[상세보기]
85,9518.0,부산광역시 영도구 남항동_2,"31,356,422,361",[상세보기]
86,9517.0,부산광역시 영도구 남항동_1,"91,139,860,266",[상세보기]
87,9520.0,부산광역시 영도구 남항동_4,"108,980,506,003",[상세보기]
88,9514.0,부산광역시 사하구 장림2동,"33,909,739,474",[상세보기]
89,9509.0,부산광역시 사하구 다대1동,"35,155,690,751",[상세보기]
